name,ele_payor_id,address,city,state,zip,phone_one,phone_two,create_by,plain_medicare,plan_medicalid,plan_campus,plan_champva,plan_group_health,plan_feca,plan_others
Medicaid - Nevada,DHCFP,P.O. Box 30042,Reno,NV,89520,111-111-1111,,,,,,,,,
Clinicas Del Camino Real,CDCR1,PO Box 1348,Camarillo,CA,93011,111-111-1111,,,,,,,,,
Partnership Health Plan of California,CPP08,PO Box 1368,Suisun City,CA,94585,111-111-1111,,,,,,,,,
Medicaid of Illinois,MCDIL,Post Office Box 19105,Springfield,Illinois,62794,8008436154,8008436154,,,,,,,,
Medica,12422,P.O. Box 981647,El Paso,TX,79998,111-111-1111,,,,,,,,,
Highmark Blue Cross Blue Shield,54771,PO Box 760,Pittsburg,PA,15230,111-111-1111,,,,,,,,,
CareFirst Blue Choice,SB690,10802 Red Run Blvd.,Owings Mills,MD,21117,111-111-1111,,,,,,,,,
MHN - Medi-Cal,22771,PO Box 14621,Lexington,Kentucky,40512,111-111-1111,,,,,,,,,
Medica - Electronic,94265,PO Box 30990,Salt Lake City,UT,84130,111-111-1111,,,,,,,,,
Ameriben,75137,PO BOX 7186,BOISE,IDAHO,83707,111-111-1111,,,,,,,,,
Blue shield of California,BS001,po box 272540,Chico,CA,95927,111-111-1111,,,,,,,,,
Southern Illinois Health Care Association,SIHCA,PO Box 127,Collinsville,IL,62234,111-111-1111,,,,,,,,,
Special Optum (74227),74227,Po Box 30755,Salt Lake City,Utah,84130,111-111-1111,,,,,,,,,
WebTPA,75261,PO Box 99906,Grapevine,TX,76099,111-111-1111,,,,,,,,,
UCLA Medical Group,USMBP,5767 W CENTURY BLVD STE 400,LOS ANGELES,CA,90045,111-111-1111,,,,,,,,,
Tricare South Region/ECHO,61125,PO BOX 7036,Camden,SC,29020,111-111-1111,,,,,,,,,
Lone Star TPA,45289,PO Box 21854,Eagan,MN,55121,111-111-1111,,,,,,,,,
Medicaid/CHIP Texas,TMHP1,Mail Code H-320 P.O. Box 85200 4900 N. Lamar,Austin,Texas,78708,8052773392,,,,,,,,,
BCBS HMO,1260,PO Box 1289,Maryland Heights,MO,63043,111-111-1111,,,,,,,,,
Comppsych,37363,PO BOX 8379,Chicago,IL,60686,111-111-1111,,,,,,,,,
Comppsych,37363,PO BOX 8379,Chicago,IL,60686,111-111-1111,,,,,,,,,
MHN - Medical,22771,Po box 14621,Lexington,Kentucky,40512,111-111-1111,,,,,,,,,
MHN- Commercial,22771,PO Box 14621,lexington,Kentucky,40512,111-111-1111,,,,,,,,,
UnitedHealthcare Shared Services,39026,PO Box 30783,Salt Lake City,UT,81430,111-111-1111,,,,,,,,,
South Carolina Medicaid,SCXIX,PO Box 1412,Columbia,SC,29202,111-111-1111,,,,,,,,,
Trillium Health Resources,56089,201 West 1st St.,Greenville,NC,27858,111-111-1111,,,,,,,,,
Medcost,56162,P.O. Box 25307,Winston-Salem,NC,27114,800-795-10,,,,,,,,,
Payer Compass-ACS Benefits,PA331,8025 North Point Blvd. Ste100,Winston-Salem,NC,27106,3367592013,,,,,,,,,
BCBS Arkansas New Directions,E7059,PO Box 2181,Little Rock,AR,72203,8008274814,,,,,,,,,
Sandhills Center,SHC30,1120 Seven Lakes Drive,West End,NC,27376,111-111-1111,,,,,,,,,
Anthem BCBS-Ohio,834,P.O. Box 105187,Atlanta,GA,30348,111-111-1111,,,,,,,,,
Health Partner,HPAMN,PO Box 1309,Minneapolis,MN,55440,111-111-1111,,,,,,,,,
Beacon Health Options,valop,PO Box 1800,Latham,NY,12110,111-111-1111,,,,,,,,,
CO Anthem BCBS,COBLS,PO Box 5747,Denver,CO,80217,111-111-1111,,,,,,,,,
Select Health Utah,SX107,5381 S. Green St.,Murray,UT,84123,8005385083,,,,,,,,,
Anthem BCBS-CT,60,P.O. Box 533,North Haven,CT,6473,,,,,,,,,,
Medicaid - Utah,SKUT0,PO Box 143106,Salt Lake City,UT,84114,8015386155,8006629651,,,,,,,,
Health New Englad,4286,"One Monarch Place, Suite 1500",Springfield,MA,1144,8008424464,,,,,,,,,
Aetna Choice,60054,P.O. Box 14079,Lexington,KY,40512,,,,,,,,,,
Saint John's Health Clinic,SJHC1,PO Box 9622,Mission Hills,CA,91346,,,,,,,,,,
Prominence Health Plan,88029,1510 Meadow Wood Lane,Reno,NV,89502,,,,,,,,,,
Colorado Medicaid,77016,PO Box 30,Denver,CO,80201,,,,,,,,,,
Hometown Health Plan Nevada,88023,830 Harvard Way,Reno,NV,89502,,,,,,,,,,
Anthem BCBS - NV,265,P. O. Box 5747,Denver,CO,80217,,,,,,,,,,
HealthSmart Benefit Solutions Inc.,34145,3320 West Market St. Suite 100,Fairlawn,OH,44333,,,,,,,,,,
Metro Plus Health Plan,13265,P.O. Box 1966,New York,NY,10116,,,,,,,,,,
American Specialty Health,ASHP1,PO BOX 509077,San Diego,CA,92150,,,,,,,,,,
Colorado Medicaid - CES,CO_TXIX,PO Box 30,Denver,CO,80201,3033279738,,,,,,,,,
Colorado Medicaid - CWA,CO_TXIX,PO Box 30,Denver,CO,80201,3033279738,,,,,,,,,
Colorado Medicaid - SLS,CO_TXIX,PO Box 30,Denver,CO,80201,,,,,,,,,,
Colorado Medicaid - DD,CO_TXIX,PO Box 30,Denver,CO,80201,,,,,,,,,,
Empire BCBS HealthPlus,803,PO Box 61010,Virginia Beach,VA,23466,,,,,,,,,,
Sharp,SCMG1,PO Box 609001,San Diego,CA,92160,,,,,,,,,,
Medical Mutual,29076,PO Box 6018,Cleveland,OH,44101,,,,,,,,,,
HMSA,HMSA1,P.O. Box 44500,Honolulu,HI,96804,,,,,,,,,,
Aetna( FSB plan),25133,"EL PASO, TX - 79998",EL PASO,TX,79998,,,,,,,,,,
HealthComp,85729,PO Box 45018,Fresno,CA,93718,8776334461,,,,,,,,,
Highmark Health Options,47181,PO Box 890402,CAMP HILL,PA,17089,,,,,,,,,,
BCBS (Anthem) - MO,241,P.O. Box 105187,Atlanta,GA,30348,0,,,,,,,,,
MO Health Net,MCDMO,PO Box 5600,Jefferson City,MO,65102,0,,,,,,,,,
MedCost Title XIX,M3012,PO Box 981648,El Paso,TX,79998,1111111111,,,,,,,,,
The Health Exchange (Cerner),20356,PO Box 165750,Kansas City,MO,64116,8777651033,,,,,,,,,
Priority Health /claims,38217,PO Box 232,Grand Rapids,MI,49501,,,,,,,,,,
IU Health - Commercial,77153,PO Box 627,Columbus,IN,47202,,,,,,,,,,
IU Health - Exchange,77153,PO Box 627,Columbus,IN,47202,,,,,,,,,,
Southeastern Indiana Health (SIHO),77153,PO Box 77153,Columbus,IN,47202,,,,,,,,,,
MDwise - Hoosier Care Connect,31354,PO Box 331538,Corpus Christi,TX,78463,,,,,,,,,,
MDwise - Hoosier Healthwise,SX172,PO Box 331550,Corpus Christi,TX,78463,,,,,,,,,,
MDwise - Marketplace Connect,SX172,PO Box 331428,Corpus Christi,TX,78463,,,,,,,,,,
MDwise - Methodist,SX172,PO Box 331550,Corpus Christi,TX,78463,,,,,,,,,,
MDwise - St. Vincent,SX172,PO Box 503010,Indianapolis,IN,46250,,,,,,,,,,
MDwise - HIP,31354,PO Box 331609,Corpus Christi,TX,78463,,,,,,,,,,
Medicaid - Indiana,MCDIN,PO Box 7269,Indianapolis,IN,46207,,,,,,,,,,
Cenpatico,68068,PO Box 6800,Farmington,MO,63640,,,,,,,,,,
Tufts Public Health Plan (Network Health),4332,PO Box 8115,Park Ridge,IL,60068,,,,,,,,,,
BCBS - Delaware,570,P.O. Box 890089,Camp Hill,PA,17089,8006332563,,,,,,,,,
Colorado Medicaid - EPSDT,CO_TXIX,PO Box 30,Denver,CO,80201,,,,,,,,,,
GHI Claims,13551,PO Box 2827,New York,NY,10116,,,,,,,,,,
CareSource Ohio,31114,P.O. Box 8730,Dayton,OH,45401,,,,,,,,,,
Medicaid - CT (Husky),MCDCT,PO BOX 2991,Hartford,CT,6104,0,,,,,,,,,
Lakeside Community Healthcare,LMG01,PO BOX 371330,Reseda,CA,91337,,,,,,,,,,
Cardinal Innovations (Medicaid MCO),6607,4855 Milestone Avenue,Kannapolis,NC,28081,,,,,,,,,,
Kaiser Permanente of Colorado,COKSR,P.O. Box 373150,Denver,CO,80237,,,,,,,,,,
BCBS - Kansas City,47171,P.O. Box 419169,Kansas City,MO,94141,,,,,,,,,,
Prospect Medical Group - Attn: Claims Mou,PROSP,PO BOX 573094,Tarzana,CA,91357,,,,,,,,,,
QualCare,23342,P.O. Box 219,Piscataway,NJ,8855,8886708135,,,,,,,,,
AmeriHealth NJ,54704,P.O. Box 211184,Eagan,MN,55121,8009687241,,,,,,,,,
Magellan,1260,P.O. Box 1005,Maryland Heights,MO,63043,8003276247,,,,,,,,,
Tricare East,TREST,PO BOX 7981,Madison,WI,53707,,,,,,,,,,
Penn Behavioral Health,53226,"3440 Market Street, Suite 450",Philadelphia,PA,19104,,,,,,,,,,
Colorado Medicaid - Speech,CO_TXIX,PO Box 30,Denver,CO,80201,,,,,,,,,,
Independence Blue Cross,54704,PO Box 211184,Eagan,MN,55121,,,,,,,,,,
BCBS Iowa (Wellmark),BCSIA,"636 Grand Avenue, Station 39",Des Moines,IA,50306,,,,,,,,,,
BCBS - Minnesota,720,P.O Box 64338,St. Paul,MN,55164,,,,,,,,,,
Carolina Behavioral Health Alliance,56215,PO BOX 571137,Winston Salem,NC,27157,,,,,,,,,,
Shasta Administrative Services,75280,PO Box 1747,Redmond,OR,97756,,,,,,,,,,
Meritain Health Plan – MO,41124,PO Box 853921,Richardson,TX,75085,,,,,,,,,,
GEHA,6603,PO Box 981707,El Paso,TX,79998,8008216136,,,,,,,,,
WellCare Health Plans,14163,P.O. Box 31372,Tampa,FL,33631,,,,,,,,,,
CalOptima,CALOP,505 City Pkwy W.,Orange,CA,92868,,,,,,,,,,
Harvard Pilgrim Health Care,87726,PO Box 699183,Quincy,MA,2269,,,,,,,,,,
Oxford/UBH,6111,PO Box 29130,Hot Springs,AR,71903,,,,,,,,,,
ComPsych,37363,PO Box 8379,Chicago,IL,60680,,,,,,,,,,
"Allied Benefit Systems, Inc",37308,PO Box 909786-60690,Chicago,IL,60690,8664558727,,,,,,,,,
The Health Plan,HPOUV,1110 Main Street,Wheeling,WV,26003,8778477901,8778477901,,,,,,,,
Culinary Health Fund,59144,P.O. Box 94469,Seattle,WA,98124,,,,,,,,,,
Continental Benefits,35245,P.O. Box 3610,Brandon,FL,33509,,,,,,,,,,
Little Company of Mary Health,LCM10,P.O. Box 8236,Westchester,IL,60154,,,,,,,,,,
BCBS - AL,510,450 Riverchase Parkway East,Birmingham,AL,35244,,,,,,,,,,
Quick Trip,73067,PO Box 21690,Eagan,MN,55121,,,,,,,,,,
1199SEIU,13162,PO BOX 1007,New York,NY,10108,8888191199,,,,,,,,,
BlueCrossBlueShield (3877),803,PO BOX 3877 Church Street Station,New York,NY,10008,8009922583,,,,,,,,,
BlueCrossBlueShield(1407),803,PO BOX 1407 Church Street Station,New York,NY,10008,8009922583,,,,,,,,,
HIP (Beacon),55247,PO BOX 1850 Hicksville,Hicksville,NY,11802,8662716403,,,,,,,,,
Wellnet (Aetna),41124,PO BOX 270226,Minneapolis,MN,55427,8669023017,,,,,,,,,
Optima Health,54154,PO Box 5806,Troy,MI,48099,,,,,,,,,,
VA Premier,54176,PO Box 5208,Richmond,VA,23220,,,,,,,,,,
"Zelis - Health Solutions, PMB 404",88090,15560 N. FLW Blvd.,Scottsdale,AZ,85260,,,,,,,,,,
Valley Health Plan (Medi-Cal),VHP02,P.O. Box 28407,San Jose,CA,95159,,,,,,,,,,
Santa Clara Family Health Plan,24077,PO Box 5550,San Jose,CA,95150,,,,,,,,,,
Anthem HealthKeepers,923,P.O. Box 27401,Richmond,VA,23279,,,,,,,,,,
UBH - Utah,87726,PO Box 30755,Salt Lake City,UT,84130,,,,,,,,,,
FirstCare,94999,PO Box 853935,Richardson,TX,75085,,,,,,,,,,
Web TPA,75261,PO Box 99906,Grapevine,TX,76099,,,,,,,,,,
Optima Health Community Care,54154,P.O. Box 1440,Troy,MI,48099,,,,,,,,,,
HUMAN AFFAIRS INTERNATIONAL OF CA,1260,PO BOX 710400,San Diego,CA,92171,,,,,,,,,,
Blue Cross and Blue Shield of Illinois - Secondary,621,300 East Randolph Street,Chicago,IL,60601,,,,,,,,,,
VA Prem Elite Plus CCC+,VPEP1,PO Box 4369,Richmond,VA,23220,,,,,,,,,,
HealthSmart Benefits Solutions - WV,87815,PO Box 2451,Charleston,WV,25329,,,,,,,,,,
APWU Health Plan,62308,PO Box 1358,Glen Burnie,MD,21060,,,,,,,,,,
Significa,23250,P.O. Box 7777,Lancaster,PA,17604,7175811300,8004333746,,,,,,,,
Valley Health Plan (Commercial),VHP01,P.O. Box 26160,San Jose,CA,95159,,,,,,,,,,
Valley Health Plan (Healthy Families/Kids),VHP02,P.O. Box 28410,San Jose,CA,95159,,,,,,,,,,
Aetna Better Health of California,128CA,P.O. Box 66125,Phoenix,AZ,85082,,,,,,,,,,
BCBS - TN,890,"1 Cameron Hill Circle, Suite 0002",Chattanooga,TN,37402,,,,,,,,,,
BlueCare TN,390,"1 Cameron Hill Circle, Suite 0002",Chattanooga,TN,37402,,,,,,,,,,
Medicaid - Delaware,MCDDE,PO Box 909,New Castle,DE,19720,,,,,,,,,,
Ingalls Provider Group c/o Evolent Health,85578,PO Box 3358,Glen Ellyn,IL,60138,,,,,,,,,,
Minnesota Health Care Program,MNDMN,PO Box 64993,St. Paul,MN,55164,,,,,,,,,,
Fidelis Platinum,11315,PO Box 898,Amherst,NY,14226,,,,,,,,,,
BCBS - MI,710,P.O. Box 312500,Detroit,MI,48231,,,,,,,,,,
Health Plan of Nevada,76342,P.O. Box 15645,las Vegas,NV,89114,,,,,,,,,,
Magellan Complete Care VA,MCCVA,"1 Cameron Hill Circle, Suite 52",Chattanooga,TN,37402,,,,,,,,,,
Health Care Authority,MC006,PO Box 45535,Olympia,WA,98504,,,,,,,,,,
Premier Physician Network,MPM22,PO BOX 570997,Tarzana,CA,91357,,,,,,,,,,
Anthem BCBS - ME,680,PO Box 533,North Haven,CT,6473,,,,,,,,,,
Cofinity,38335,P.O Box 2720,Farmington Hills,MI,48333,,,,,,,,,,
Unicare,80314,PO Box 9016,Andover,MA,1810,8004429300,,,,,,,,,
Medicaid - Wisconsin,WISC_TXIX,313 Blettner Blvd,Madison,WI,53714,,,,,,,,,,
TennCare,890,1 Cameron Hill Circle Ste 0002,Chattanooga,TN,37402,,,,,,,,,,
United Healthcare Community Plan,95378,PO Box 5220,Kingston,NY,12402,8006901606,,,,,,,,,
MassHealth Beacon,43324,PO Box 1866,Hicksville,NY,11802,,,,,,,,,,
BCBS - KS,47163,1133 SW Topeka Boulevard.,Topeka,KS,66629,,,,,,,,,,
Medicaid - Kansas,MCDKS,P.O. Box 3500,Topeka,KS,66601,,,,,,,,,,
Louisiana Healthcare Connections,68068,P.O. Box 3060,Farmington,MO,63640,,,,,,,,,,
The Loomis Company,23223,PO Box 7011,Wyomissing,PA,19610,,,,,,,,,,
Molina Healthcare of Washington,38336,PO Box 22612,Long Beach,CA,90801,,,,,,,,,,
UMR,39026,PO Box 30210,Salt Lake City,UT,85012,,,,,,,,,,
UCare of MN,52629,PO Box 70,Minneapolis,MN,55440,,,,,,,,,,
PHX-Health Solutions,88090,15560 N.FLW Blvd.,Scottsdale,AZ,85260,,,,,,,,,,
Starmark,61425,P.O.Box 2942,Clinton,IA,52733,,,,,,,,,,
Select Health of South Carolina,23285,PO Box 7120,London,KY,40742,,,,,,,,,,
Blue Choice of South Carolina (Medicaid),403,P.O. Box 100300,Columbia,SC,29202,,,,,,,,,,
American Healthcare Alliance,1066,PO Box 400,Kingston,NC,28502,,,,,,,,,,
CHAMPVA,84146,PO Box 469064,Denver,CO,80246,8007338387,,,,,,,,,
Coordinated Care,68069,PO Box 4030,Farmington,MO,63640,,,,,,,,,,
Medicaid - Alaska,MCDAK,P.O. Box 240769,Anchorage,AK,99524,,,,,,,,,,
Maestro Health,56139,PO Box 1178,Matthews,NC,28106,,,,,,,,,,
GPA,45143,PO box 749075,Dallas,TX,75374,,,,,,,,,,
Kern Health Systems,77039,PO Box 25003,Bakersfield,CA,93311,,,,,,,,,,
Health Alliance,77950,PO Box 6003,Urbana,IL,61803,,,,,,,,,,
